TC ID,Module/Screen,Title,Preconditions,Test Steps,Test Data,Expected Result,Type,Priority,Status,Remarks
AUTH01,Authentication,Valid Login with Email and Password,User has valid registered account,"1. Navigate to login page
2. Enter valid email address
3. Enter valid password
4. Click Login button","Email:admin@email.com
Password:password",User successfully logs in and redirects to dashboard based on role,UI,High,Passed,User successfully logs in and redirects to dashboard based on role
AUTH02,Authentication,Invalid Login with Wrong Password,User account exists in system,"1. Navigate to login page
2. Enter valid email address
3. Enter incorrect password
4. Click Login button","Email: admin@email.com
Password: wrongPassword",Login fails with error message 'Invalid credentials',Negative,High,Passed,Login fails with error message 'Invalid credentials'
AUTH03,Authentication,Invalid Login with Non-existent Email,System has registration functionality,"1. Navigate to login page
2. Enter non-existent email address
3. Enter any password
4. Click Login button","Email: nonexistent@email.com
Password: anyPassword123",Login fails with appropriate error message,Negative,Medium,Passed,Login fails with appropriate error message
AUTH04,Authentication,Empty Email Field Validation,User on login page,"1. Navigate to login page
2. Leave email field empty
3. Enter valid password
4. Click Login button",Password: password,Validation error shown for required email field,UI,Medium,Passed,Validation error shown for required email field
AUTH05,Authentication,Empty Password Field Validation,User on login page,"1. Navigate to login page
2. Enter valid email
3. Leave password field empty
4. Click Login button",Email: admin@email.com,Validation error shown for required password field,UI,Medium,Passed,Validation error shown for required password field
AUTH06,Authentication,Invalid Email Format Validation,User on login page,"1. Navigate to login page
2. Enter invalid email format
3. Enter valid password
4. Click Login button","Email: ad.com@gmail.com
Password: password",Validation error shown for invalid email format,UI,Medium,Passed,Validation error shown for invalid email format
AUTH09,Authentication,Password Visibility Toggle,User on login page,"1. Navigate to login page
2. Enter password in password field
3. Click eye icon to show password
4. Click eye icon again to hide password",Password: testPassword123,Password visibility toggles correctly between hidden and visible,UI,Low,Passed,Password visibility toggles correctly between hidden and visible
AUTH07,Login Screen,UI Load Test,User not authenticated,Navigate to /login,,Login form displays with email/password fields and tabs,UI,High,Passed,Login form displays with email/password fields and tabs
AUTH11,Login Screen,Email Masking,User on OTP tab,Display email option,adm*********@email.com,Email displayed as adm*********@problembolo.com,UI,Low,Passed,Email displayed as adm*********@problembolo.com
AUTH10,Login Screen,Tab Navigation,User completed step 1,System auto-navigates to OTP tab,"Email:admin@email.com
Password:password",OTP tab active with radio button for email option,UI,Medium,Passed,OTP tab active with radio button for email option
